document_id,clean_text,sentiment
doc_001,going write review dune movie include thought dune part one throughout difficult part rating movie trying judge stand without comparing original book movie think great cinematography amazing sound design good acting good liked visual style interpreted various technology world dune soundtrack good little overbearing time music part two felt like improvement part one one biggest complaint people movie pacing saying first movie dragging second rushing agree sentiment latter personally enjoyed slower pacing first dune movie second movie definitely move quickly first half slows lot second half rushing conclusion casting good part personally disagree casting rebecca ferguson get later first movie especially impressed timoth e chalamet paul think better role second part jason momoa perfect pick duncan idaho oscar isaac great job duke leto stellan skarsgard good choice baron harkonnen think could written better really looking forward seeing christopher walken emperor shaddam unfortunately felt pretty lifeless bring much energy scene overall stand dune movie great film know call defining sci fi movie st century like people saying still good definitely rewatchable would recommend moving comparing book start get disappointing side movie one biggest issue movie especially second almost completely leave ecological message book book used textbook environmental science class guess filmmaker decided message important enough fremen shown working towards terraforming dune green world slowly surely making wind trap planting grass fix dune place goal working towards total commitment even though know realized several generation powerful message think lot people need hear nowadays especially reference issue climate change movie barely mention goal think disservice original story diminishes fremen character think fundamental issue movie adaptation understandable one could solved better way main issue adapting book character difficult relate superhumans insane ability movie lot main character altered make relatable audience understandable change character greatly improves book duncan idaho duke leto others like chani jessica reduces strength character explain later additionally book lot complex concept story plot never stop fully explain reader supposed pick go along reread understand making little obtuse dune dialogue heavy lot action happening background described briefly remedy movie remove complex topic add action scene exciting well choreographed second movie start feeling repetitive redundant overpower intricate plot point first movie cleverly managed insert lot exposition without feeling like constantly lore dumping part two feel like afraid explain thing first possibly complaint nothing happened first movie result second movie much action heavy still want include complex topic book get bunch action sequence scene political complexity strung without full explanation necessary clarify easy understand people read book would feel confused movie barely take time explain happening moving next scene fremen blowing spice hauler getting direct comparison book starting first movie two biggest issue first movie changed jessica dumbed mentats starting mentats hugely important part dune book thufir hawat essentially main character first book peter de vries terrifying mastermind behind harkonnen plan part trigger paul first vision coming jihad name mother tell trained mentat birth without knowledge movie word mentat never said paul mentat training brought thufir hawat guy roll eye back head say something smart disappears halfway mark peter de vries dy poisoning disappointing think worse change made book changed jessica character dune book get much feminist go first book female character however jessica make strong main character complete control mind body bene gesserit training almost superhuman strength speed control others voice internal monologue also show almost always two step ahead everyone except paul movie jessica feel much weaker first movie almost always cry verge tear make lot believable start killing harkonnens bear hand make scene tent paul get vision part book jessica openly grief much less powerful moving second movie change get disappointing movie begin paul jessica fremen fighting harkonnens battle fight jamis getting sietch tabr book felt like added sake starting action sequence fight jessica throw involuntarily bene gesserit total control body make sense even though pregnant speaking jessica child alia really character least like book understand idea going handle toddler walk talk like adult kill man handled jessica give birth movie also really explain alia pre born piece information people read book could probably use paul jessica get sietch tabr thing feel lot different book describes interior sietch covered drapery rug cushion classroom plastic factory workshop movie show sietch interior smooth carved stone rather natural rock wall textile seen essentially water reservoir shown general depiction fremen movie much worse book fremen tight knit community people understand need well even need communicate loud jessica feel like need coffee fremen coffee simply appears without giving order movie fremen three thing good stabbing people fanatic believer paul people hate mahdi prophecy believe paul book dissenting faction paul really present chani definitely part understand filmmaker probably added help drive home anti hero worship message lot people missed book could executed better also disliked changed chani book easily fall paul give unwavering support think fine wanted make nuanced movie like way movie want u think love even though constantly show chani ranting prophecy disagreeing paul action end leaf paul agrees marry emperor daughter irulan even though book make clear marrying politics refuse even touch three child chani instead ending definitely complicate thing go adapting dune messiah complete film trilogy running room write people probably read anyway length say enjoyed movie think good change made especially part two disappointing could executed better,positive
doc_002,hollywood need great story great director producer best thing studio get hell way let artist create art dune part creative beautiful tragic mesmerizing never get bored anticipate going happen next read book nothing compare denis villeneuve continues amaze effort put film acting film top notch saw imax sound earth shattering gon na see movie see largest screen possible,positive
doc_003,start saying absolutely loved first movie familiar story went zero expectation completely stunned masterful artwork dune part music sound visuals entire world atmosphere character even plot found everything beautifully crafted breath fresh air sci fi genre familiar source material considering movie deep desire love second part specially considering review getting much loved first one help feel slight disappointment let start positive cinematography consistently world visual wonder mix practical effect cgi blend perfectly intense dramatic sound effect associated thrilling daunting soundtrack delivers course acting consistently good time around great see javier barden character developed bringing great topic table make wonder honest different first movie second reviewed general public running time considerable almost hour somehow feel strangely rushed bit odd explain word get many scene feel contribute narrative blue transition scene main character change demeanor entirely without much build leading movie spends much time trying connect paul fremens yet fails explore inner motivation moment see character changing give feeling missed something paul betrayal chani also feel bit irrelevant since chemistry built first movie seems dissipate relationship mother also odd inconsistent character becomes dark fairly early movie one moment beloved mother without much shared screen time seems almost despise end film without audience deeper understanding relationship dynamic newly introduced villain one dimensional austin butler character seemed pointless goal get killed almost instantly alongside baron got much build first movie list actor like florence pugh christopher walken l seydoux could amazing character get zero chance showing entire plot paul sister go drain well messing time started become promising lead nowhere mean could go short movie many plot gap develop character properly poorly introduced newcomer relied heavily outstanding cinematography sound shame tell excited write praising review honest opinion apparently seem align majority lot scene drag without much substance highlight film javier barden character message behind dangerous concept messia course hopeful third movie maybe expectation lowered becomes great experience,positive
doc_004,pleasure watch film early screening completely blown away dune part everything one could ask film kind big fan game throne franchise long time since iv e encountered level world building epicness plot story development carried awe inspiring manner throughout movie progressing precise pace toward spectacular climax executed perfectly denis villeneuve continues prove one promising filmmaker time would keep high budget epic tale since director working today tackle genre good film received praise many great filmmaker notable christopher nolan dark knight trilogy oppenheimer accurately compared villeneuve achievement film empire strike back modern era would highly recommend watch first movie order appreciate subtlety foreshadowing better though completely necessary since movie pretty self contained specifically one prominent impressive strength movie stand without relying heavily first part course really want enjoy story real point watching second part without seen first one however even watched year ago remember every little plot detail able catch quickly watching pt understand important detail even smaller one non ideally even someone watched first movie greatly enjoy one self contained despite relying heavily first movie impressive highly commendable screenplay effort writer timoth e chalamet delivers impressive charismatic performance point seems like role born play zendaya also give good performance significantly screen time first movie austin butler manages terrifying role villain rebecca ferguson shine one best performance year javier bardem surprise role sometimes provides comic relief movie addition film filled top tier actor actress perform role amazingly han zimmer score masterful expect one step oscar winning grammy nominated score pt technical aspect vfx production design sound editing etc top notch award worthy action sequence absolutely mind blowing sent chill spine denis direction impeccable story absolutely fascinating continuing develop character pt even deeper introduce new incredible intriguing character personal opinion movie better first part pretty much every aspect first part excellent mainly served setup positioning piece sequel part story reach climax one strongest climax seen big screen recent decade befitting complex work frank herbert wrote many year ago believe surely hope movie major player next award season line win pretty much guaranteed hope get love line category direction even best picture perhaps break stigma presented fantasy sci fi genre recent year academy big fan genre unless better competitor released later eligibility period maybe time movie like triumph movie serf great wrap story introduced pt opinion could serve even better set possible masterpiece dune messiah really hope get green lit soon miss opportunity catch movie imax since believe historic piece epic fantasy sci fi cinema movie remembered classic genre extremely recommended,positive
doc_005,phenomenal stuff probably calm tomorrow right heart beating like crazy brain screaming bloody masterpiece one movie try control expectation beforehand still surpassed many way power spice power kinda turned lie end movie start felt immediate sense tension score cinematic experience imagine feeling lying home bed watching headphone resonating vibration sound reverberate theater created epic atmosphere part one came people said game throne space really taken much especially since people said apple tv foundation series enjoyed movie dune bore comparison watching part two however see world building politics epic grandeur however first half dune part two pretty grounded calm delving life fremen almost feel like two distinct movie first half intricately setting stage climactic third act reinforcing character connection established dune part one unlike part one focus lore movie devotion driven also resembling political narrative especially knowing hidden puppeteer behind empire result appears intricate web scheme involving empire witch advisor woman spell name lol baron family despite emperor pulling string baron family still felt like main antagonist second half movie see epic scale dune movie quick paced tell absolutely immersed absolutely loved kind mahdi humble say mahdi theatre burst laughter felt weird expecting humour funnier expected lively first dune movie already seen usul worm riding scene dune part one reopening bonus content still excited spoil thing visual brilliance expected stunning elevating every aspect authenticity scene made feel character immersed environment rather merely placed green screen loved portrayal time passing paul changing eye longer stay bluer eye get despite lively plot progressing measured pace remains engaging drawing attention away deliberate slowness much action battle absolutely epic feel like could longer still captivated jessica disappears thought showed paul zendeya rest cast really get much screen time think loved baby embryo featus scene batista mask desert whole team suited badass love darker role although think moment felt overly animated gave effective contrast austin butler though wait see character like fierce intimidating psycho girl shivering plate hand gladiator game made chuckle butler also sound like baron time dune part two stand steady felt complete compared introductory feel part one despite still felt like lay groundwork dune part three messiah leaving sense setup movie feeling like precursor still manages provide conclusive ending also think watch part one first said prospect back back viewing sound like fun afternoon one thing complain stilger mixed feeling part one javier fierce favorite character movie though depicted religious fanatic part done well still miss stilgar walked duke leto atreides disregard felt like different person still fierce different loved austin butler though sure expect tried best avoid trailer teaser apart dune part one bonus content short lady charge extracting water life insane calf extremely jealous initially convinced timoth e chalamet lead truly owns role sequel displayed acting facet seen movie essentially unfolds paul atreides coming age story zendaya delivering amazing performance first act focusing love story add depth event movie end zendaya portrayal transcends typical love story hope role extends dune messiah hopefully add complexity character see paul undergo transformation son royalty experiencing love narrative take surprising turn assumes authority third act although liked felt bit rushed found solace logic water life spiritual poison drinking resulted profound shift personality contrast version paul well jessica striking kinda made sense think watching movie home justice clearly made big screen pretty epic think remain memorable one best movie despite february absolutely loved,positive
doc_006,first film production beautiful loved opening scene harkonnen soldier arena fight austin butler last atreides robert yuan actor name fantastic battle harvester phenomenal script however left little bit disappointed guild navigator worm used came pas mountain opened atomics one sequence initial charge marvelous sequence gunships entered nothing sardurkar given enough respect film one scene showed respect rose fallen sand rock debris stood ground preparing oncoming onslaught instead panicking felt film spent time tactical combat scene supposed epic battle end film maybe trim time dragged sequence film first movie better job sardaukar actually feared epic battle end movie less epic poor bautista made act like wimp glorious fight even retreat much like walken thought poorly cast emperor film perfect actor personality villeneuve fault picked script also fails emphasize paul kwisatz haderach end movie paul initial ability vaguely see future come century genetic tinkering woman ben gesserat drink water life survives develops ability see individual past evident scene fremen temple look individual describes past clearly see optional future outcome actually fulfills prophecy fremen story true really messiah arrakis justifying religion really kwisatz haderach man ability man film appears gloss shame populist charismatic man blamed like zendaya character perceived fooling anyone follow falling appeal power giving principle critique first film enough emotion well part better job especially paul survives water life becomes anti hero hell break loose zendaya character independent woman film interesting albeit combat skill luck realistic unless buy sardaukar inept part better drama part part great action sequence besides disappointment mentioned earlier perfect film dune admirer,positive
doc_007,liked loved first one apply one personally loved one even think general audience well hope well box office need dune messiah everything love going movie also han zimmer book reader say one take liberty first change liked better even part still hit main beat book thing altered biggest change time jump therefore certain character fully appear movie contrary book though still use character different way liked personally know early year lock oscar nomination movie best picture best director best adapted screenplay best editing best cinematography best score best sound best visual effect best costume best production design best makeup hopefully rebecca ferguson time best supporting actress guess pretty much every category typed lol,positive
doc_008,visual spectacle refreshingly lived beyond hype however niggling itch movie something chani character bothered grew movie progressed googled see others shared feeling could find praise character however consensus written different book finally found article helped describe disconnect felt chani following writing credit given kara kennedy herbert novel dune chani range role avenue strength influence power becomes paul love begin young woman introduces foreign desert land vision one guide integrates fremen community fierce young fighter well religious leader role sayyadina standing apart paul oversee cultural rite young mother finally win approval child bene gesserit grandmother jessica save paul long coma wise enough understand political necessity paul legally marrying princess trusted negotiate marriage contract chani attachment paul important part story reduce simple one dimensional female character chani essential window fremen culture multi faceted character challenge stereotype woman faith woman non western culture continue debated real world meanwhile film dune part one especially dune part two make substantial change chani character name making independent end making stereotypically masculine mainly fighter fling paul mother religious figure instead rejecting association religious belief practice almost second jamis except brief romantic entanglement paul chani disavowal religious element culture arguably represents contemporary western cynical view taking story religion must purged empower individual free woman shackle change chani character appears intended make free complex follower believe dismissive paul see little learn relationship mutual exchange partnership something turn aside independent underlying message chani woman faith like book interesting complex character follower oppressed takeaway fremen religious system bad influenced outsider faith make people weak fighter killer preferable like woman live sietches wear headscarf discus religious idea carry tribe ancestor body chani may also reflect deeper fear increasingly secular west power religion st century possible idea dune oppressed group militarily united religious banner drawing strength belief something greater still much put screen adaptation especially given book middle eastern influence viewer need reassured everyone belief division someone rational one turn away fundamentalist chani offer contrasting perspective voice called reason question religious indoctrination ultimately considerable change made chani character denis villeneuve film adaptation alienate lover culture strip many role book complexity gained skepticism offset loss influence authority place community chani depiction film worryingly suggests price independent woman mean faithless alone,positive
doc_009,visually musically stunning like first movie excellent action scene casting superb part aside walken emperor opinion great cast nothing christopher actor seem well roll still good enough get job done also biggest fan zendaya visually good cast chani constant angry face little chemistry paul distracting chalamet ferguson absolutely nailed role main issue movie incomplete reduxed storytelling director decided include possiblly important fascinating element scene least story werding way disappointed since technology available directoror incorporate bene gesserit werding way martial art paul jessica moment fast almost appeared teleportation movie emphasize incredibly skilled mysterious god like paul jessica would fremen viewer jessica reverend mother transformation explained properly seriously underperformed writing explanation magnitude significance reverend mother construed properly movie reverend mother seriously overpowered being strong power influence fact another hidden reverend mother dune signified properly transformation book much poignant little explanation jessica daughter aliah abomination jessica role seriously deminished second movie kwisatz haderach found significance explaition power inadequately explained explored movie mentioned earlier significance power reverend mother shown much big deal kwisatz haderach actually much powerful precience past memory visually nuanced felt like director cautious afraid explore mysterious transcedental part story opinion core story without feel almost pointless like different plot paul fight free fremen jessica get nun spiritual job fremen paul shown gifted fighter sort special ability look different anyone else fact paul fighting using weirding way would almost incompreheble fremen summary movie visual feast theatrical presence masterpiece fails capture magnitude main character ability essence power struggle spice could,positive
doc_010,dune part epic movie slickly made visually stunning explain quite bit friend around read book especially water life scene final battle movie almost hour run time felt overlong villenue focus much spectacle little substance beautiful movie feel like soul emotional connection paul chani vital story completely lacking unbelievable two main character good looking enough absolutely zero chemistry screen certain zendaya fine actress thing basically facial expression one us scowl directed paul found worst part movie final fight scene short choppy mess felt anticlimactic unfulfilling harkonens basically reduced bumbling villainy almost cartoonish ending super abrupt different book left wondering filmmaker would want sequel want reiterate bad movie villenue great creating world look living breathing give life individual character like see tree forest,neutral
